0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
45.8011,54.5359,45.8445,49.8672,45.7012,45.8843,49.7792,54.0943,49.8911,49.9162,49.8737,45.2883,54.2222,54.2839,54.1187,49.9002,54.2389,45.4904,-2.5
45.8861,54.5967,45.7942,49.9442,45.3357,45.7998,49.7017,54.1083,49.926,49.9589,49.8801,45.1008,54.6676,54.3025,54.5516,49.8883,54.3604,45.4964,-2.55
45.8278,54.7516,45.8274,49.9675,45.2398,45.7749,49.6984,54.1198,49.9538,49.9918,49.8826,45.0361,54.4121,54.5994,54.5793,49.895,54.3499,45.6029,-2.6
45.7276,54.7606,45.8313,49.9983,45.2589,45.7355,49.7004,54.235,49.9672,49.995,49.8959,44.9458,54.8683,54.3164,54.661,49.9463,54.657,45.5551,-2.65
45.3936,54.8532,45.8217,50.0151,45.1592,45.6826,49.4037,54.333,49.9288,49.9584,49.9106,44.8755,54.7851,54.8712,54.7189,49.9418,54.6673,45.473,-2.7
45.3376,54.9476,45.7117,49.9647,45.1507,45.6095,49.3771,54.3471,49.9248,49.9365,49.8527,44.8192,54.92,54.9032,54.7737,49.9311,55.0334,44.8381,-2.75
45.292,55.0872,45.7123,50.0038,45.02,45.5324,49.3988,54.6883,49.9305,49.998,49.8512,44.6725,54.9497,55.0652,54.8231,50.001,55.039,44.6962,-2.8
45.1737,55.0111,45.6499,49.4545,44.9466,45.1604,49.3542,54.8116,49.9718,50.0005,49.8083,44.6903,54.9293,55.1023,54.9027,50.0057,55.0505,44.645,-2.85
45.1295,55.0008,45.5275,49.9646,44.9006,45.151,49.3903,54.8218,49.9349,49.9738,49.7754,44.5932,55.0412,54.9982,54.9282,49.9582,55.0577,44.6199,-2.9
45.1043,55.072,45.4664,49.9097,44.8022,45.0465,49.386,54.8497,50.0096,50.0335,49.8186,44.6841,55.0798,55.0682,55.0078,49.9468,55.1756,44.5865,-2.95
45.0207,55.1716,45.3488,49.8854,44.7765,44.9809,49.362,54.8788,50.018,50.041,49.8845,44.7262,55.068,55.172,55.0417,49.943,55.1226,44.5238,-3.0
50.1054,50.0067,49.9967,50.0239,50.0519,50.1233,50.021,50.0107,49.9989,50.0168,49.9905,50.0685,49.8959,49.8822,49.8802,49.9484,49.9812,50.0192,0.05
50.1395,49.9529,49.9455,49.9519,50.1698,50.1178,50.077,50.0144,50.01,50.0331,50.0724,50.0862,49.7914,49.9848,49.8455,49.9655,49.8313,49.914,0.1
50.1573,49.8384,50.1345,49.9987,50.2681,50.1557,50.109,49.7622,49.9852,49.9989,49.9841,50.2085,49.6943,49.8743,49.7744,49.9841,49.9153,49.9961,0.15
50.1031,49.8338,50.2056,49.9625,50.2795,50.2287,49.9568,49.7596,49.9349,49.9788,49.94,50.2084,49.6851,49.7865,49.7722,50.0259,49.8586,50.0296,0.2
50.1949,49.4082,50.1916,50.0328,50.3631,50.263,50.0512,49.6837,50.0328,50.0027,49.9312,50.2889,49.6391,49.6476,49.7357,50.0637,49.6792,50.109,0.25
